journal_name,impact_factor,ranking
Decision Support Systems,"3,56",AIS
European Journal of Information Systems,,AIS
Information & Management,"3,85",AIS
Information and Organization,"2,33",AIS
Information Systems Journal,,AIS
Information Systems Research,,AIS
Journal of the AIS,,AIS
Journal of Information Technology,,AIS
Journal of MIS,,AIS
Journal of Strategic Information Systems,,AIS
MIS Quarterly,,AIS
Decision Sciences,"1,64",AIS
MISQ Executive,,AIS
IEEE Intelligent Systems,"2,6",AIS
Expert Systems,"1,43",AIS
†Expert Systems with Applications,"3,78",AIS
"†Intelligent Systems in Accounting, Finance and Management",,AIS
†Organizational Behavior and Human Decision Processes,"2,25",AIS
Computers in Human Behavior,"3,98",AIS
Information Technology for Development,"1,47",AIS
Journal of American Medical Informatics Association,"4,27",AIS
International Journal of Medical Informatics,"2,96",AIS
Journal of Medical Internet Research,"4,67",AIS
†Health Systems,,AIS
†BMC Medical Informatics and Decision Making,"2,13",AIS
†IEEE Transactions on Management,"1,45",AIS
†Information Technology & People,,AIS
†Communications of the AIS,"0,56",AIS
†Research Policy,"4,66",AIS
†First Monday,"1,47",AIS
†Computers & Security†,"2,86",AIS
International Journal of Information Security,"1,69",AIS
Journal of Information System Security,,AIS
†Journal of Information Security,"2,43",AIS
†Digital Investigation,"2,31",AIS
†Journal of Database Management,"0,46",AIS
†Communications of the ACM,"4,03",AIS
†Requirements Engineering,"1,75",AIS
†IEEE Transactions on Software Engineering,"3,33",AIS
,C,VHB
Abacus,B,VHB
Absatzwirtschaft,,VHB
Academy of Management Annals,A,VHB
Academy of Management Journal,A+,VHB
Academy of Management Learning & Education,B,VHB
Academy of Management Perspectives,B,VHB
Academy of Management Review,A+,VHB
Accountancy,D,VHB
Accounting and Business Research,B,VHB
Accounting and Finance,C,VHB
Accounting and the Public Interest,C,VHB
Accounting Education: An International Journal,C,VHB
Accounting Forum,C,VHB
Accounting Historians Journal,C,VHB
Accounting History,C,VHB
Accounting History Review,B,VHB
Accounting Horizons,B,VHB
Accounting in Europe,C,VHB
Accounting Perspectives,C,VHB
Accounting Research Journal,C,VHB
Accounting Review,A+,VHB
"Accounting, Auditing, & Accountability Journal",B,VHB
"Accounting, Economics, and Law ?-- A Convivium",B/C,VHB
"Accounting, Organizations and Society",A,VHB
ACM Computing Reviews,C,VHB
ACM Computing Surveys,B,VHB
ACM SIGMIS Database,B,VHB
ACM Transactions on Computer-Human Interaction,B,VHB
ACM Transactions on Database Systems,,VHB
ACM Transactions on Information Systems,B,VHB
ACM Transactions on Management Information Systems,B,VHB
Administration & Society,C,VHB
Administration and Public Management Review,C,VHB
Administrative Science Quarterly,A+,VHB
Advanced Information Systems Engineering. Proceedings of the International Conference CAiSE (fr¸her: Proceedings of the Conference on Advanced Information Systems Engineering),C,VHB
Advances in Accounting,C,VHB
Advances in Applied Business Strategy,,VHB
Advances in Consumer Research,C,VHB
Advances in International Marketing,C,VHB
Advances in Management Accounting,C,VHB
Advances in Strategic Management,C,VHB
AIS Transaction on Enterprise Systems,C,VHB
American Economic Journal: Economic Policy,,VHB
American Economic Review,A+,VHB
American Journal of Public Health,,VHB
American Psychologist,,VHB
American Review of Public Administration,C,VHB
AMS Review,B,VHB
